,time,YPredicted,YReal,KPredicted,NPredicted,RPredicted,loss,An,d,al,tr,depon,gentime,Z,dn,ksted,nsted,rsted,s,segment_index,A,be,phi,region_id
56,56,0.510886520076719,0.42873951163745,0.25468938323222,0.570984021239862,0.651712452423905,0.0685193249142217,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,1,0.55836659354727,0.447097764040728,0.227520369067863,Chihuahua Desert
57,57,0.511405495323529,0.41988803625282,0.254984342025959,0.572882483716135,0.650403460637035,0.0685193249142217,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,1,0.55836659354727,0.447097764040728,0.227520369067863,Chihuahua Desert
58,58,0.511845568086429,0.41787251554456,0.255250047601819,0.574534570281011,0.64925316520518,0.0685193249142217,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,1,0.55836659354727,0.447097764040728,0.227520369067863,Chihuahua Desert
59,59,0.512214710449662,0.41892614385671,0.255529716721981,0.575975437712462,0.648219932780176,0.0685193249142217,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,1,0.55836659354727,0.447097764040728,0.227520369067863,Chihuahua Desert
60,60,0.512522165033576,0.42095372679165,0.255829080281429,0.577232641866847,0.647284910643352,0.0685193249142217,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,1,0.55836659354727,0.447097764040728,0.227520369067863,Chihuahua Desert
61,61,0.512778838502275,0.42405351381358,0.256116383307948,0.578326137678908,0.64645202670552,0.0685193249142217,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,1,0.55836659354727,0.447097764040728,0.227520369067863,Chihuahua Desert
62,62,0.512997595276969,0.42909912919783,0.256322384962125,0.579268279161773,0.645747989506982,0.0685193249142217,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,1,0.55836659354727,0.447097764040728,0.227520369067863,Chihuahua Desert
63,63,0.5131704279338,0.4365297235105,0.25638379240187,0.580085505775934,0.64515771717129,0.0685193249142217,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,1,0.55836659354727,0.447097764040728,0.227520369067863,Chihuahua Desert
64,64,0.513285810523345,0.44652753461448,0.256386278217999,0.58081422047374,0.644601810641743,0.0685193249142217,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,1,0.55836659354727,0.447097764040728,0.227520369067863,Chihuahua Desert
65,65,0.513391609267079,0.4597439584718,0.256404445781562,0.581439237864221,0.644129153152027,0.0685193249142217,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,1,0.55836659354727,0.447097764040728,0.227520369067863,Chihuahua Desert
66,66,0.513517647652976,0.47753140941388,0.256480211299863,0.581955355079149,0.643767410592577,0.0685193249142217,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,1,0.55836659354727,0.447097764040728,0.227520369067863,Chihuahua Desert
67,67,0.513673006579131,0.50122209710994,0.256624483138678,0.582369530018838,0.643517169066527,0.0685193249142217,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,1,0.55836659354727,0.447097764040728,0.227520369067863,Chihuahua Desert
68,68,0.513845928422056,0.53053511834155,0.256817161822245,0.58270088135215,0.643351934889715,0.0685193249142217,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,1,0.55836659354727,0.447097764040728,0.227520369067863,Chihuahua Desert
69,69,0.51400378358585,0.56226554690512,0.257007140033273,0.582980688516487,0.643218134590678,0.0685193249142217,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,1,0.55836659354727,0.447097764040728,0.227520369067863,Chihuahua Desert
70,70,0.514093065528195,0.59149458178508,0.257112302612937,0.583252391717798,0.643035114910659,0.0685193249142217,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,1,0.55836659354727,0.447097764040728,0.227520369067863,Chihuahua Desert
